Number of Elements, Assignments (Bubble) (Average), Comparisons (Bubble) (Average), Assignments + Comparisons (Bubble) (Average), Assignments (Selection) (Average), Comparisons (Selection) (Average), Assignments + Comparisons (Selection) (Average), Assignments (Insertion) (Average), Comparisons (Insertion) (Average), Assignments + Comparisons (Insertion) (Average),Assignments (Bubble) (Best), Comparisons (Bubble) (Best), Assignments + Comparisons (Bubble) (Best), Assignments (Selection) (Best), Comparisons (Selection) (Best), Assignments + Comparisons (Selection) (Best), Assignments (Insertion) (Best), Comparisons (Insertion) (Best), Assignments + Comparisons (Insertion) (Best), Assignments (Bubble) (Worst), Comparisons (Bubble) (Worst), Assignments + Comparisons (Bubble) (Worst), Assignments (Selection) (Worst), Comparisons (Selection) (Worst), Assignments + Comparisons (Selection) (Worst), Assignments (Insertion) (Worst), Comparisons (Insertion) (Worst), Assignments + Comparisons (Insertion) (Worst)
100, 7428, 4914, 12342, 287, 4950, 5237, 2669, 660, 3329, 0, 99, 99, 0, 4950, 4950, 0, 672, 672, 14850, 4950, 19800, 297, 4950, 5247, 5148, 579, 5727
200, 30096, 19672, 49768, 582, 19900, 20482, 10421, 1531, 11952, 0, 199, 199, 0, 19900, 19900, 0, 1544, 1544, 59700, 19900, 79600, 597, 19900, 20497, 20298, 1352, 21650
300, 68229, 44621, 112850, 879, 44850, 45729, 23330, 2480, 25810, 0, 299, 299, 0, 44850, 44850, 0, 2488, 2488, 134550, 44850, 179400, 897, 44850, 45747, 45448, 2197, 47645
400, 116669, 79163, 195832, 1179, 79800, 80979, 39675, 3460, 43135, 0, 399, 399, 0, 79800, 79800, 0, 3488, 3488, 239400, 79800, 319200, 1197, 79800, 80997, 80598, 3097, 83695
500, 181173, 124212, 305385, 1480, 124750, 126230, 61378, 4491, 65869, 0, 499, 499, 0, 124750, 124750, 0, 4488, 4488, 374250, 124750, 499000, 1497, 124750, 126247, 125748, 3997, 129745
600, 267379, 179291, 446670, 1777, 179700, 181477, 90311, 5553, 95864, 0, 599, 599, 0, 179700, 179700, 0, 5576, 5576, 539100, 179700, 718800, 1797, 179700, 181497, 180898, 4986, 185884
700, 366588, 244473, 611061, 2079, 244650, 246729, 123585, 6620, 130205, 0, 699, 699, 0, 244650, 244650, 0, 6676, 6676, 733950, 244650, 978600, 2097, 244650, 246747, 246048, 5986, 252034
800, 474674, 319120, 793794, 2380, 319600, 321980, 159813, 7725, 167538, 0, 799, 799, 0, 319600, 319600, 0, 7776, 7776, 958800, 319600, 1278400, 2397, 319600, 321997, 321198, 6986, 328184
900, 607594, 403790, 1011384, 2677, 404550, 407227, 204315, 8845, 213160, 0, 899, 899, 0, 404550, 404550, 0, 8876, 8876, 1213650, 404550, 1618200, 2697, 404550, 407247, 406348, 7986, 414334
1000, 752982, 499076, 1252058, 2977, 499500, 502477, 252978, 9987, 262965, 0, 999, 999, 0, 499500, 499500, 0, 9976, 9976, 1498500, 499500, 1998000, 2997, 499500, 502497, 501498, 8986, 510484
1100, 904639, 604097, 1508736, 3280, 604450, 607730, 303731, 11120, 314851, 0, 1099, 1099, 0, 604450, 604450, 0, 11152, 11152, 1813350, 604450, 2417800, 3297, 604450, 607747, 606648, 10063, 616711
1200, 1083057, 718124, 1801181, 3576, 719400, 722976, 363404, 12299, 375703, 0, 1199, 1199, 0, 719400, 719400, 0, 12352, 12352, 2158200, 719400, 2877600, 3597, 719400, 722997, 721798, 11163, 732961
1300, 1266059, 842681, 2108740, 3876, 844350, 848226, 424603, 13480, 438083, 0, 1299, 1299, 0, 844350, 844350, 0, 13552, 13552, 2533050, 844350, 3377400, 3897, 844350, 848247, 846948, 12263, 859211
1400, 1462347, 977909, 2440256, 4176, 979300, 983476, 490233, 14668, 504901, 0, 1399, 1399, 0, 979300, 979300, 0, 14752, 14752, 2937900, 979300, 3917200, 4197, 979300, 983497, 982098, 13363, 995461
1500, 1690303, 1122959, 2813262, 4478, 1124250, 1128728, 566418, 15849, 582267, 0, 1499, 1499, 0, 1124250, 1124250, 0, 15952, 15952, 3372750, 1124250, 4497000, 4497, 1124250, 1128747, 1127248, 14463, 1141711
1600, 1912528, 1278608, 3191136, 4778, 1279200, 1283978, 640690, 17039, 657729, 0, 1599, 1599, 0, 1279200, 1279200, 0, 17152, 17152, 3837600, 1279200, 5116800, 4797, 1279200, 1283997, 1282398, 15563, 1297961
1700, 2163263, 1442316, 3605579, 5076, 1444150, 1449226, 724467, 18274, 742741, 0, 1699, 1699, 0, 1444150, 1444150, 0, 18352, 18352, 4332450, 1444150, 5776600, 5097, 1444150, 1449247, 1447548, 16663, 1464211
1800, 2443609, 1615668, 4059277, 5377, 1619100, 1624477, 818117, 19499, 837616, 0, 1799, 1799, 0, 1619100, 1619100, 0, 19552, 19552, 4857300, 1619100, 6476400, 5397, 1619100, 1624497, 1622698, 17763, 1640461
1900, 2704015, 1801985, 4506000, 5675, 1804050, 1809725, 905122, 20710, 925832, 0, 1899, 1899, 0, 1804050, 1804050, 0, 20752, 20752, 5412150, 1804050, 7216200, 5697, 1804050, 1809747, 1807848, 18863, 1826711
2000, 3057237, 1997564, 5054801, 5971, 1999000, 2004971, 1023063, 21936, 1044999, 0, 1999, 1999, 0, 1999000, 1999000, 0, 21952, 21952, 5997000, 1999000, 7996000, 5997, 1999000, 2004997, 2002998, 19963, 2022961
2100, 3305704, 2202518, 5508222, 6273, 2203950, 2210223, 1106086, 23198, 1129284, 0, 2099, 2099, 0, 2203950, 2203950, 0, 23204, 23204, 6611850, 2203950, 8815800, 6297, 2203950, 2210247, 2208148, 21116, 2229264
2200, 3619343, 2416911, 6036254, 6577, 2418900, 2425477, 1210831, 24459, 1235290, 0, 2199, 2199, 0, 2418900, 2418900, 0, 24504, 24504, 7256700, 2418900, 9675600, 6597, 2418900, 2425497, 2423298, 22316, 2445614
2300, 3959003, 2640981, 6599984, 6870, 2643850, 2650720, 1324252, 25709, 1349961, 0, 2299, 2299, 0, 2643850, 2643850, 0, 25804, 25804, 7931550, 2643850, 10575400, 6897, 2643850, 2650747, 2648448, 23516, 2671964
2400, 4365384, 2877973, 7243357, 7179, 2878800, 2885979, 1459907, 26985, 1486892, 0, 2399, 2399, 0, 2878800, 2878800, 0, 27104, 27104, 8636400, 2878800, 11515200, 7197, 2878800, 2885997, 2883598, 24716, 2908314
2500, 4632180, 3121803, 7753983, 7472, 3123750, 3131222, 1549039, 28258, 1577297, 0, 2499, 2499, 0, 3123750, 3123750, 0, 28404, 28404, 9371250, 3123750, 12495000, 7497, 3123750, 3131247, 3128748, 25916, 3154664
